CODE,ALIAS_CODE,ALIAS_TYPE
AT001,AT12,NUTS2
AT002,AT34,NUTS2
AT004,AT333,NUTS3
AT005,AT32,NUTS2
AT006,AT21,NUTS2
AT007,AT31,NUTS2
AT008,AT11,NUTS2
AT009,AT22,NUTS2
AT010,AT13,NUTS2
BE001,BE34,NUTS2
BE002,BE21,NUTS2
BE003,BE23,NUTS2
BE004,BE31,NUTS2
BE004,BE24,NUTS2
BE004,BE10,NUTS2
BE005,BE32,NUTS2
BE006,BE35,NUTS2
BE007,BE22,NUTS2
BE008,BE33,NUTS2
BE009,BE25,NUTS2
BG001,BG413,NUTS3
BG002,BG341,NUTS3
BG003,BG332,NUTS3
BG004,BG322,NUTS3
BG005,BG422,NUTS3
BG006,BG425,NUTS3
BG007,BG415,NUTS3
BG008,BG315,NUTS3
BG009,BG312,NUTS3
BG010,BG424,NUTS3
BG011,BG421,NUTS3
BG012,BG423,NUTS3
BG013,BG314,NUTS3
BG014,BG414,NUTS3
BG015,BG323,NUTS3
BG016,BG324,NUTS3
BG017,BG411,NUTS3
BG018,BG412,NUTS3
BG019,BG333,NUTS3
BG020,BG342,NUTS3
BG021,BG325,NUTS3
BG022,BG344,NUTS3
BG023,BG334,NUTS3
BG024,BG311,NUTS3
BG025,BG313,NUTS3
BG026,BG331,NUTS3
BG027,BG321,NUTS3
BG028,BG343,NUTS3
CZ001,CZ080,NUTS3
CZ002,CZ041,NUTS3
CZ003,CZ032,NUTS3
CZ004,CZ031,NUTS3
CZ005,CZ042,NUTS3
CZ006,CZ051,NUTS3
CZ007,CZ052,NUTS3
CZ008,CZ053,NUTS3
CZ009,CZ020,NUTS3
CZ010,CZ063,NUTS3
CZ011,CZ064,NUTS3
CZ012,CZ071,NUTS3
CZ013,CZ072,NUTS3
CZ014,CZ090,NUTS3
DE020,909573999,WARNCELL
DE021,909274999,WARNCELL
DE022,913075001,WARNCELL
DE023,914523002,WARNCELL
DE024,903459999,WARNCELL
DE025,913071001,WARNCELL
DE026,906633999,WARNCELL
DE027,913072003,WARNCELL
DE028,914730001,WARNCELL
DE029,909187999,WARNCELL
DE030,903352001,WARNCELL
DE031,901058001,WARNCELL
DE032,913073002,WARNCELL
DE033,913074002,WARNCELL
DE034,913075003,WARNCELL
DE035,908315999,WARNCELL
DE036,913072001,WARNCELL
DE037,901057002,WARNCELL
DE038,914628001,WARNCELL
DE039,903457002,WARNCELL
DE040,914524001,WARNCELL
DE041,906438999,WARNCELL
DE042,909472999,WARNCELL
DE043,909278999,WARNCELL
DE050,908236999,WARNCELL
DE060,901059002,WARNCELL
DE077,909679999,WARNCELL
DE044,914524002,WARNCELL
DE051,907235999,WARNCELL
DE068,907338999,WARNCELL
DE078,909571999,WARNCELL
DE045,903352002,WARNCELL
DE052,913073003,WARNCELL
DE069,903457001,WARNCELL
DE046,909471999,WARNCELL
DE056,909184999,WARNCELL
DE063,914628003,WARNCELL
DE073,901055001,WARNCELL
DE047,906432999,WARNCELL
DE057,909671999,WARNCELL
DE064,903461001,WARNCELL
DE074,908425999,WARNCELL
DE048,915085001,WARNCELL
DE058,901056001,WARNCELL
DE065,903455001,WARNCELL
DE075,914626001,WARNCELL
DE049,909375999,WARNCELL
DE059,913071002,WARNCELL
DE066,909275999,WARNCELL
DE076,913076002,WARNCELL
DE053,903462001,WARNCELL
DE070,914626002,WARNCELL
DE054,914625001,WARNCELL
DE061,901055002,WARNCELL
DE071,914730002,WARNCELL
DE055,913072002,WARNCELL
DE062,901059001,WARNCELL
DE072,913075002,WARNCELL
DE079,903458999,WARNCELL
DE080,908125999,WARNCELL
DE081,901051001,WARNCELL
DE082,913071003,WARNCELL
DE083,903462002,WARNCELL
DE084,907335999,WARNCELL
DE085,913074001,WARNCELL
DE086,914625002,WARNCELL
DE087,909473999,WARNCELL
DE088,901057001,WARNCELL
DE089,909475999,WARNCELL
DE090,913073001,WARNCELL
DE091,901051002,WARNCELL
DE092,914628002,WARNCELL
DE093,915085002,WARNCELL
DE094,914522001,WARNCELL
DE095,901054002,WARNCELL
DE096,909772999,WARNCELL
DE097,907339999,WARNCELL
DE098,907340999,WARNCELL
DE099,914522002,WARNCELL
DE100,913075004,WARNCELL
DE101,903461002,WARNCELL
DE102,903452001,WARNCELL
DE103,903452002,WARNCELL
DE104,903455002,WARNCELL
DE105,909678999,WARNCELL
DE106,901054001,WARNCELL
DE107,913076001,WARNCELL
DE108,914523001,WARNCELL
DE109,908215999,WARNCELL
DE110,908226999,WARNCELL
DE111,DE112,NUTS3
DE112,DE114,NUTS3
DE113,DE115,NUTS3
DE114,DE116,NUTS3
DE115,DE117,NUTS3
DE116,DE118,NUTS3
DE117,DE119,NUTS3
DE118,DE11B,NUTS3
DE119,DE11C,NUTS3
DE120,DE11D,NUTS3
DE121,DE122,NUTS3
DE122,DE123,NUTS3
DE123,DE124,NUTS3
DE124,DE125,NUTS3
DE125,DE127,NUTS3
DE126,DE12A,NUTS3
DE127,DE12B,NUTS3
DE128,DE131,NUTS3
DE129,DE132,NUTS3
DE130,DE133,NUTS3
DE131,DE134,NUTS3
DE132,DE135,NUTS3
DE133,DE136,NUTS3
DE134,DE137,NUTS3
DE135,DE139,NUTS3
DE136,DE141,NUTS3
DE137,DE142,NUTS3
DE138,DE143,NUTS3
DE139,DE145,NUTS3
DE140,DE146,NUTS3
DE141,DE148,NUTS3
DE142,DE149,NUTS3
DE143,DE211,NUTS3
DE144,DE212,NUTS3
DE145,DE213,NUTS3
DE146,DE214,NUTS3
DE147,DE215,NUTS3
DE148,DE217,NUTS3
DE149,DE219,NUTS3
DE150,DE21A,NUTS3
DE151,DE21B,NUTS3
DE152,DE21C,NUTS3
DE153,DE21E,NUTS3
DE154,DE21G,NUTS3
DE155,DE21K,NUTS3
DE156,DE21L,NUTS3
DE157,DE21M,NUTS3
DE158,DE21N,NUTS3
DE159,DE221,NUTS3
DE160,DE222,NUTS3
DE161,DE223,NUTS3
DE178,DE245,NUTS3
DE188,DE255,NUTS3
DE195,DE263,NUTS3
DE205,DE276,NUTS3
DE215,DE403,NUTS3
DE225,DE40E,NUTS3
DE232,DE711,NUTS3
DE242,DE71B,NUTS3
DE249,DE731,NUTS3
DE259,DE80M,NUTS3
DE269,DE919,NUTS3
DE279,DE933,NUTS3
DE296,DE94F,NUTS3
DE303,DEA16,NUTS3
DE313,DEA24,NUTS3
DE323,DEA33,NUTS3
DE333,DEA58,NUTS3
DE343,DEB17,NUTS3
DE350,DEB32,NUTS3
DE357,DEB3B,NUTS3
DE367,DEC04,NUTS3
DE377,DED53,NUTS3
DE387,DEE0E,NUTS3
DE162,DE224,NUTS3
DE169,DE232,NUTS3
DE179,DE246,NUTS3
DE189,DE257,NUTS3
DE196,DE264,NUTS3
DE206,DE277,NUTS3
DE216,DE404,NUTS3
DE226,DE40G,NUTS3
DE233,DE712,NUTS3
DE243,DE71C,NUTS3
DE250,DE733,NUTS3
DE260,DE80N,NUTS3
DE270,DE91A,NUTS3
DE280,DE934,NUTS3
DE287,DE944,NUTS3
DE297,DE94G,NUTS3
DE304,DEA17,NUTS3
DE314,DEA26,NUTS3
DE324,DEA35,NUTS3
DE334,DEA59,NUTS3
DE344,DEB18,NUTS3
DE354,DEB37,NUTS3
DE361,DEB3G,NUTS3
DE371,DED2D,NUTS3
DE381,DEE07,NUTS3
DE163,DE225,NUTS3
DE170,DE234,NUTS3
DE180,DE247,NUTS3
DE190,DE25A,NUTS3
DE197,DE265,NUTS3
DE207,DE278,NUTS3
DE217,DE405,NUTS3
DE227,DE40H,NUTS3
DE234,DE713,NUTS3
DE244,DE71E,NUTS3
DE251,DE735,NUTS3
DE261,DE80O,NUTS3
DE271,DE91B,NUTS3
DE281,DE937,NUTS3
DE288,DE947,NUTS3
DE298,DE94H,NUTS3
DE305,DEA18,NUTS3
